probe	filter_type	ar_method	period_number	period	amplitude	phase	phi	R_square	R2_adjust	coef_var	pvalue
262326_at	0	burg	1	22.42696629	0.176530067	20.711812	0.480521177	0.750615607	0.700738728	0.148090376	0.000964598
265741_at	0	burg	1	23.62130178	0.182484741	14.39318472	2.454647507	0.750578557	0.700694269	0.152458137	0.000965315
265023_at	0	mle	1	23.34502924	0.21032443	7.384606017	-1.987525805	0.750534844	0.700641813	0.180825555	0.000966161
257831_at	1	burg	1	24.79503106	0.155201648	14.92302559	2.50161573	0.750442893	0.700531471	0.129863727	0.000967943
266289_at	0	burg	1	20.16161616	0.132234837	5.343308138	-1.665193649	0.750290603	0.700348723	0.110707317	0.0009709
257672_at	0	mle	1	22.17777778	0.469076564	9.978407987	-2.826982355	0.750254646	0.700305575	0.412058938	0.000971599
255710_at	0	burg	1	25.10691824	0.082125783	1.697210372	-0.424738997	0.750217666	0.700261199	0.073054531	0.000972319
248232_at	0	mle	1	21.23404255	0.156781497	2.644657853	-0.782558259	0.750140164	0.700168197	0.128513326	0.000973828
262236_at	0	burg	1	22.94252874	0.771338374	12.47054063	2.867924566	0.750110369	0.700132443	0.496977995	0.000974409
263533_at	1	mle	1	22.17777778	0.103453687	21.51492116	0.187793882	0.750145824	0.700174989	0.092733961	0.000973718
249826_at	1	yule-walker	1	24.19393939	0.250354104	14.85658788	2.424917615	0.750061759	0.700074111	0.228054243	0.000975357
261108_at	0	burg	1	23.90419162	0.212024534	0.33499391	-0.088052709	0.749994109	0.699992931	0.1890896	0.000976678
246507_at	0	mle	1	22.94252874	0.147220345	8.313576605	-2.27680841	0.749794346	0.699753215	0.114232517	0.000980586
261667_at	0	mle	1	27.34246575	0.219898386	24.42878016	0.669552874	0.749621127	0.699545352	0.172818556	0.000983985
251899_at	1	yule-walker	1	20.57731959	0.185367946	13.58319866	2.135621098	0.749430836	0.699317003	0.169288574	0.00098773
255575_at	0	mle	1	21.81420765	0.575975556	12.09036445	2.800775977	0.749484369	0.699381243	0.427706196	0.000986675
266583_at	1	mle	1	22.94252874	0.315875485	7.034329998	-1.926465883	0.749526099	0.699431318	0.239902065	0.000985854
261618_at	1	yule-walker	1	23.34502924	0.216042567	22.10823206	0.33287711	0.749496395	0.699395674	0.196133808	0.000986438
261353_at	0	yule-walker	1	20.79166667	0.303712599	5.340163831	-1.613783034	0.749435557	0.699322668	0.252328397	0.000987637
256607_at	1	burg	1	22.17777778	0.110735654	13.29500743	2.5165773	0.749388252	0.699265902	0.090744693	0.000988569
263582_at	0	yule-walker	1	21.81420765	0.191658199	1.602094435	-0.46145413	0.749044265	0.698853118	0.15975955	0.000995372
260065_at	0	mle	1	21.93406593	0.283581148	13.78364442	2.334752201	0.749066795	0.698880154	0.224353436	0.000994926
247668_at	1	burg	1	22.94252874	0.931595815	13.58249066	2.563398934	0.749038524	0.698846229	0.608576266	0.000995486
253118_at	1	yule-walker	1	23.07514451	0.134189406	21.37537838	0.462833312	0.748986174	0.698783409	0.103618979	0.000996525
255429_at	0	mle	1	21.57837838	0.150495708	11.36118347	2.975039541	0.748741142	0.698489371	0.11505046	0.001001398
252965_at	0	burg	1	22.55367232	0.726523268	7.450542679	-2.075632723	0.748618003	0.698341604	0.510422673	0.001003855
247388_s_at	0	mle	1	23.07514451	0.370263435	9.125029237	-2.484675648	0.748554618	0.698265542	0.287839921	0.001005121
245270_at	1	burg	1	22.17777778	0.163505478	13.44218546	2.474880299	0.748463801	0.698156562	0.135601293	0.001006937
253022_at	1	burg	1	20.57731959	0.216520006	3.129457393	-0.955564724	0.748455105	0.698146126	0.172754396	0.001007111
261981_at	0	mle	1	21.81420765	0.243257632	8.594507986	-2.475491531	0.748339602	0.698007522	0.253213164	0.001009426
258359_s_at	0	burg	1	22.30167598	0.1598266	19.53571854	0.779269826	0.748249837	0.697899804	0.125092279	0.001011227
245877_at	0	mle	1	23.90419162	0.259345024	22.69720337	0.317255272	0.748041828	0.697650194	0.226968346	0.001015412
257909_at	0	mle	1	26.09150327	0.092861868	11.04672901	-2.660201089	0.747913215	0.697495858	0.075589122	0.001018006
265665_at	0	mle	1	22.30167598	2.382709543	0.533346311	-0.150262864	0.747899384	0.697479261	0.981098874	0.001018285
256418_at	1	mle	2	"25.2658227848,21.6956521739"	"0.34434008167,0.259736195978"	"12.3363708049,12.1036656314"	2.777894319	0.877401745	0.816102617	0.319502837	0.001018769
246962_s_at	1	mle	1	22.68181818	0.287553606	9.961308942	-2.759423847	0.747793249	0.697351898	0.230387893	0.001020431
247563_at	0	mle	1	22.55367232	0.192416182	21.51911915	0.288214227	0.74781322	0.697375864	0.144058073	0.001020027
264447_at	1	mle	2	"23.6213017751,20.0603015075"	"0.171452333915,0.141538123542"	"3.54530653489,18.6346317713"	0.446541002	0.877321595	0.815982392	0.113993082	0.001021363
267030_at	0	yule-walker	1	24.04819277	0.094651435	13.04433262	2.875030697	0.747720621	0.697264745	0.080654919	0.001021901
263864_at	0	burg	1	24.04819277	0.156868297	12.72998056	2.957162949	0.747483559	0.696980271	0.129566356	0.001026711
254889_at	1	burg	1	20.68393782	0.38329569	15.92353418	1.446073686	0.747382622	0.696859147	0.32720734	0.001028765
253458_at	0	yule-walker	1	21.34759358	0.265899565	0.766564669	-0.225621115	0.747291964	0.696750357	0.222090026	0.001030612
262290_at	0	mle	1	22.05524862	0.533564294	2.160752879	-0.615563714	0.747278329	0.696733995	0.407303856	0.00103089
252317_at	1	yule-walker	1	21.34759358	0.228296292	16.5478861	1.412686231	0.747327027	0.696792433	0.268636285	0.001029897
253814_at	1	default	1	24	0.492973854	21.23330648	0.724318671	0.747229052	0.696674863	0.362833202	0.001031896
262452_at	1	mle	2	"24.6419753086,21.4623655914"	"0.619680047273,0.615577470841"	"12.9340510492,12.235146386"	2.701301862	0.876967946	0.815451919	0.567526253	0.001032868
263985_at	1	burg	1	24.64197531	0.275120686	0.28163407	-0.071810763	0.747149475	0.69657937	0.251373346	0.001033521
250148_at	0	mle	1	20.57731959	0.156554482	15.77588909	1.466093649	0.747072152	0.696486582	0.122877405	0.001035102
267367_at	0	mle	1	23.20930233	0.221822902	3.742734095	-1.013227005	0.746882234	0.69625868	0.190335476	0.001038994
255284_at	0	mle	1	23.48235294	0.351204763	21.36683941	0.566049048	0.746848749	0.696218499	0.336472259	0.001039682
253537_at	1	yule-walker	1	24.95	0.095119374	11.20311191	-2.82129171	0.746807042	0.696168451	0.078867391	0.001040538
259773_at	0	burg	1	22.94252874	0.824154058	5.510563851	-1.509157697	0.746718543	0.696062252	0.521695412	0.001042358
246238_at	0	burg	1	22.68181818	0.292887188	9.855120501	-2.730008143	0.746702377	0.696042852	0.217364083	0.001042691
253140_at	0	mle	1	22.17777778	0.523541157	11.61964292	2.991224751	0.746601037	0.695921244	0.36153264	0.001044778
255791_at	1	burg	1	23.20930233	0.180689434	13.33140136	2.674129594	0.746514613	0.695817536	0.149806696	0.001046561
262086_at	1	mle	1	23.20930233	0.161661401	18.59076414	1.25032329	0.74646568	0.695758817	0.134940831	0.001047572
267392_at	1	mle	1	22.94252874	0.190093856	10.29193843	-2.81861503	0.746461344	0.695753613	0.155574512	0.001047661
252943_at	1	mle	1	23.62130178	0.220364058	20.07406698	0.943552297	0.746508858	0.69581063	0.184714929	0.00104668
259823_at	1	mle	1	23.62130178	0.205241082	20.12871684	0.929015623	0.746322572	0.695587087	0.15639906	0.001050532
266904_at	0	mle	1	22.94252874	0.139324186	12.28691262	2.918214089	0.746284331	0.695541197	0.132634861	0.001051324
263657_at	1	mle	1	23.76190476	0.081462945	7.345647783	-1.942355492	0.746107367	0.69532884	0.075783879	0.001054995
257990_at	0	mle	1	22.42696629	0.193113244	11.15624858	-3.125557699	0.745899205	0.695079046	0.148178443	0.001059327
247409_at	1	yule-walker	1	20.79166667	0.159966528	15.12724335	1.711773373	0.745817709	0.694981251	0.129137172	0.001061027
250399_at	1	burg	1	20.79166667	0.144879945	1.573302614	-0.475447785	0.745735104	0.694882124	0.11529367	0.001062752
246849_at	0	yule-walker	1	22.55367232	0.181467664	12.09631198	2.913296419	0.745736143	0.694883371	0.142656773	0.001062731
262230_at	0	mle	1	23.20930233	0.564969103	11.3378106	-3.069354003	0.745753046	0.694903655	0.379792686	0.001062377
256944_at	0	burg	1	21.69565217	0.076470342	20.35882939	0.387151546	0.745623205	0.694747846	0.067555637	0.001065093
262775_at	1	mle	1	23.07514451	0.252362399	9.833723597	-2.6776477	0.745449904	0.694539885	0.217798444	0.001068726
250397_at	0	burg	1	21.12169312	0.077214746	15.72464245	1.605490113	0.745402863	0.694483436	0.063936761	0.001069714
249753_at	0	mle	1	23.20930233	0.218473405	11.09865603	-3.004610457	0.745326618	0.694391942	0.170401357	0.001071316
